Date,Energy,Utilities,IT,Materials,Industrials,ConsumerDiscretionary,ConsumerStaples,healthcare,Financials,CommunicationServices,RealEstate,sp500,wti_spot,VIX,FedFunds,inflation_yoy,UNRATE,INDPRO
07-01-2005,279,137.31,318.82,177.15,282.06,271.24,237.46,345.72,404.77,126.39,115.03,1186.19,44.07,13.49,2.14,0.028448739,5.3,95.8785
14-01-2005,288.84,139.93,316.34,178.17,280.46,272.62,238.6,344.68,400.2,122.03,114.63,1184.52,46.79,12.43,2.25,0.028448739,5.3,95.8785
21-01-2005,287.36,139.53,307.49,175.74,275.18,266.17,237.98,340.69,396.96,120.75,115.5,1167.87,47.85,14.36,2.28,0.028448739,5.3,95.8785
28-01-2005,293.39,142.75,308.91,175.57,278.66,264.3,239.43,338.96,396.53,119.34,111.19,1171.36,48.56,13.24,2.27,0.028448739,5.3,95.8785
04-02-2005,311.19,147.91,316.27,181.67,283.76,269.95,243.74,345.94,408.69,123.3,115.11,1203.03,46.97,11.21,2.43,0.030530262,5.4,96.5709
11-02-2005,319.34,147.25,315.58,182.87,285.35,269.58,241.74,347.25,410.18,120.51,117.55,1205.3,46.08,11.43,2.50,0.030530262,5.4,96.5709
18-02-2005,333.71,146.51,311.66,187.72,283.72,268.48,241.13,351.56,399.95,118.89,116.77,1201.59,47.82,11.18,2.50,0.030530262,5.4,96.5709
25-02-2005,351.74,147.84,312.98,192.63,284.85,266.67,240.56,354.55,401.69,120.69,116.91,1211.37,51.75,11.49,2.52,0.030530262,5.4,96.5709
04-03-2005,356.04,150.09,313.38,196.02,290.13,270.08,243.64,354.57,404.32,121.78,119.08,1222.13,52.74,11.94,2.51,0.032068413,5.2,96.4345
11-03-2005,339.21,147.29,310.69,192.65,287.51,265.76,238.32,348.67,397.13,119.62,114,1200.08,54.22,12.8,2.50,0.032068413,5.2,96.4345
18-03-2005,348.13,148.34,303.94,190.38,285.7,264.29,237.31,344.06,390.68,116.93,114.93,1189.65,55.93,13.14,2.55,0.032068413,5.2,96.4345
25-03-2005,332.65,145.98,302.76,186.29,283.25,259.763,235.47,346.24,378.41,116,112.34,1171.42,52.95,13.42,2.71,0.032068413,5.2,96.4345
01-04-2005,345.25,148.45,302.58,184.87,281.1,259.984,234.97,344.13,376.96,117.37,113.47,1172.92,54.97,14.09,2.77,0.03361793,5.2,96.6347
08-04-2005,337.79,149.28,304.85,184.51,282.03,260.203,237.68,353.4,381.06,119.05,113.53,1181.2,55.24,12.62,2.81,0.03361793,5.2,96.6347
15-04-2005,314.46,147.03,286.39,169.61,271.65,248.422,235.59,357.74,372.39,114.97,114.06,1142.62,51.44,17.74,2.76,0.03361793,5.2,96.6347
